model,search_method,convergence_status,development_cv_pr_auc,threshold,accuracy,pr_auc,roc_auc,precision,recall,f1_score,brier_score,true_positives,false_positives,true_negatives,false_negatives,false_positive_rate,false_negative_rate,predicted_positive_rate,generalization_gap_pr_auc,pr_auc_lift_over_prevalence,review_rate,applications_reviewed,fraud_captured,total_fraud,recall_at_k,precision_at_k,lift_at_k,legitimate_applications_flagged,manual_review_efficiency,estimated_fraud_loss_avoided,estimated_manual_review_cost,estimated_false_positive_cost,estimated_net_benefit
Logistic Regression,GridSearchCV,Converged,0.1377133091688337,0.681247075994058,0.9034557355225206,0.16478984432361615,0.8826388658216854,0.08431173153369696,0.6289655172413793,0.14869161164098801,0.13143928103517424,912,9905,96813,538,0.09281470792181262,0.37103448275862067,0.10000184897566748,-0.02707653515478245,12.293095090204766,0.1,10817,912,1450,0.6289655172413793,0.08431173153369696,6.289538880370299,9905,0.08431173153369696,9120000.0,1081700.0,2476250.0,5562050.0
XGBoost,RandomizedSearchCV,Not applicable,0.14010055349817066,0.5393044948577881,0.9033078174691221,0.1593180660687123,0.8805893779997688,0.0835721549412961,0.623448275862069,0.14738729925817234,0.07849196067748436,904,9913,96805,546,0.09288967184542439,0.37655172413793103,0.10000184897566748,-0.019217512570541634,11.88490797966929,0.1,10817,904,1450,0.623448275862069,0.0835721549412961,6.23436748668284,9913,0.0835721549412961,9040000.0,1081700.0,2478250.0,5480050.0
Random Forest,RandomizedSearchCV,Not applicable,0.12255136086296343,0.38399927104552245,0.9031968789290733,0.1446162581067501,0.8712226745189223,0.08301747249699547,0.6193103448275862,0.14640906497106057,0.05336794210620089,898,9919,96799,552,0.09294589478813321,0.38068965517241377,0.10000184897566748,-0.02206489724378667,10.78817338406272,0.1,10817,898,1450,0.6193103448275862,0.08301747249699547,6.192988941417245,9919,0.08301747249699547,8980000.0,1081700.0,2479750.0,5418550.0
Decision Tree,RandomizedSearchCV,Not applicable,0.05735373419481634,0.7992204932748701,0.896069077730937,0.06340237624067538,0.7431389268914335,0.057003257328990226,0.43448275862068964,0.10078387458006718,0.15010217367568457,630,10422,96296,820,0.09765925148522274,0.5655172413793104,0.10217439538495673,-0.006048642045859039,4.7297298160009476,0.1,10817,625,1450,0.43103448275862066,0.05777942128131645,4.310265131832716,10192,0.05777942128131645,6250000.0,1081700.0,2548000.0,2620300.0
Dummy Classifier,No-skill baseline,Not applicable,0.010253333333333333,0.010253333333333333,0.013405073589231566,0.013405073589231566,0.5,0.013405073589231566,1.0,0.026455509131711945,0.013235311057939498,1450,106718,0,0,1.0,0.0,1.0,-0.0031517402558982333,1.0,0.1,10817,136,1450,0.09379310344827586,0.01257280207081446,0.9379136926867989,10681,0.01257280207081446,1360000.0,1081700.0,2670250.0,-2391950.0
