dataset,model,threshold,accuracy,pr_auc,roc_auc,precision,recall,f1_score,brier_score,true_positives,false_positives,true_negatives,false_negatives,false_positive_rate,false_negative_rate,predicted_positive_rate,review_rate,applications_reviewed,fraud_captured,total_fraud,recall_at_k,precision_at_k,lift_at_k,legitimate_applications_flagged,manual_review_efficiency,estimated_fraud_loss_avoided,estimated_manual_review_cost,estimated_false_positive_cost,estimated_net_benefit
Base month 7,Logistic Regression,0.6579805761364765,0.9225550633499582,0.19842562736397,0.8906419707745803,0.1138387178834902,0.626750700280112,0.19268030139935413,0.10205889415837718,895,6967,88448,533,0.07301786930776083,0.37324929971988796,0.08118294559235051,0.1,9685,957,1428,0.6701680672268907,0.09881259679917398,6.701196296794402,8728,0.09881259679917398,9570000.0,968500.0,2182000.0,6419500.0
Variant II month 7,Logistic Regression,0.6579805761364765,0.8764792135643625,0.201198591827657,0.8896264922218075,0.08158563711471242,0.719187675070028,0.14654680365296804,0.1442612755585067,1027,11561,83853,401,0.12116670509568826,0.280812324929972,0.12998492389665642,0.1,9685,949,1428,0.6645658263305322,0.09798657718120805,6.645109318895344,8736,0.09798657718120805,9490000.0,968500.0,2184000.0,6337500.0
