group,count,fraud_count,fraud_prevalence,selection_rate,true_positive_rate,false_positive_rate,false_negative_rate,precision,pr_auc,average_predicted_score,brier_score,true_positives,false_positives,true_negatives,false_negatives,stability_flag
CA,74882,1195,0.01595844128094869,0.08930049945247188,0.6460251046025105,0.08027196113289997,0.35397489539748955,0.11544788395394048,0.20661911745636738,0.24413222669960452,0.1102421880471402,772,5915,67772,423,Adequate for primary interpretation
CB,11275,115,0.010199556541019957,0.05569844789356985,0.4608695652173913,0.05152329749103943,0.5391304347826087,0.08439490445859872,0.12472452729607823,0.20034779924268348,0.08204214007880216,53,575,10585,62,Adequate for primary interpretation
CC,2265,84,0.03708609271523179,0.2044150110375276,0.7619047619047619,0.1829436038514443,0.23809523809523808,0.13822894168466524,0.2643376483710812,0.37262580584749133,0.1988750901702122,64,399,1782,20,Adequate for primary interpretation
CD,2513,12,0.00477516912057302,0.017906884202148827,0.3333333333333333,0.01639344262295082,0.6666666666666666,0.08888888888888889,0.13213268620846316,0.14006219979362738,0.045207993993012154,4,41,2460,8,Interpret cautiously
CE,2252,9,0.003996447602131439,0.0053285968028419185,0.0,0.005349977708426215,1.0,0.0,0.03442787184821698,0.09233177225493465,0.02402003869108301,0,12,2231,9,Interpret cautiously
CF,3618,11,0.0030403537866224434,0.005804311774461028,0.09090909090909091,0.0055447740504574435,0.9090909090909091,0.047619047619047616,0.025590957463909887,0.08607575672452854,0.022167443065582795,1,20,3587,10,Interpret cautiously
CG,38,2,0.05263157894736842,0.15789473684210525,0.5,0.1388888888888889,0.5,0.16666666666666666,0.34090909090909094,0.26232651451624384,0.13563494636073903,1,5,31,1,Interpret cautiously
