group,count,fraud_count,fraud_prevalence,selection_rate,true_positive_rate,false_positive_rate,false_negative_rate,precision,pr_auc,average_predicted_score,brier_score,true_positives,false_positives,true_negatives,false_negatives,stability_flag
20-29,32363,405,0.012514291011340111,0.06485801687111825,0.5358024691358024,0.05888979285311972,0.4641975308641975,0.10338256312529776,0.15404107244091542,0.21377319106541176,0.09079851272297329,217,1882,30076,188,Adequate for primary interpretation
30-39,27860,436,0.01564967695620962,0.09242641780330223,0.6422018348623854,0.08368582263710618,0.3577981651376147,0.1087378640776699,0.18680817106453937,0.25154822732701426,0.11432237567897718,280,2295,25129,156,Adequate for primary interpretation
40-49,9725,256,0.026323907455012854,0.17131105398457583,0.78125,0.15482099482521913,0.21875,0.12004801920768307,0.2571296502616351,0.3321072922262011,0.1725935337573571,200,1466,8003,56,Adequate for primary interpretation
50-59,2501,131,0.05237904838064774,0.2658936425429828,0.8320610687022901,0.23459915611814347,0.16793893129770993,0.16390977443609023,0.3381570568293411,0.4257073424039071,0.2368770834649756,109,556,1814,22,Adequate for primary interpretation
60-69,364,25,0.06868131868131869,0.33516483516483514,0.88,0.2949852507374631,0.12,0.18032786885245902,0.358691638048978,0.46915524521873164,0.2708430102680505,22,100,239,3,Interpret cautiously
70+,77,6,0.07792207792207792,0.36363636363636365,0.8333333333333334,0.323943661971831,0.16666666666666666,0.17857142857142858,0.5334821428571429,0.5443757875997944,0.3215782675427777,5,23,48,1,Interpret cautiously
<20,23953,169,0.007055483655492005,0.029516135765874838,0.3668639053254438,0.02711907164480323,0.6331360946745562,0.0876944837340877,0.0968945486794411,0.15996843485445464,0.057024412367355504,62,645,23139,107,Adequate for primary interpretation
