model_version,threshold,accuracy,pr_auc,roc_auc,precision,recall,f1_score,brier_score,true_positives,false_positives,true_negatives,false_negatives,false_positive_rate,false_negative_rate,predicted_positive_rate,review_rate,applications_reviewed,fraud_captured,total_fraud,recall_at_k,precision_at_k,lift_at_k
Original champion,0.6579805761364765,0.9039364691960654,0.16536887185907687,0.8853870497236999,0.08671535545899972,0.646896551724138,0.152930626885139,0.12201498304799065,938,9879,96839,512,0.0925710751700744,0.35310344827586204,0.10000184897566748,0.1,10817,938,1450,0.646896551724138,0.08671535545899972,6.468845909854539
Reweighted candidate,0.39412361226232495,0.9030859403890245,0.1476007051380676,0.8714394753559331,0.08246279005269483,0.6151724137931035,0.1454308306839488,0.05229675946289348,892,9925,96793,558,0.09300211773084203,0.38482758620689655,0.10000184897566748,0.1,10817,892,1450,0.6151724137931035,0.08246279005269483,6.151610396151651
