model_version,dataset,threshold,accuracy,pr_auc,roc_auc,precision,recall,f1_score,brier_score,true_positives,false_positives,true_negatives,false_negatives,false_positive_rate,false_negative_rate,predicted_positive_rate,review_rate,applications_reviewed,fraud_captured,total_fraud,recall_at_k,precision_at_k,lift_at_k
Original champion,Base month 7,0.6579805761364765,0.9225550633499582,0.19842562736397,0.8906419707745803,0.1138387178834902,0.626750700280112,0.19268030139935413,0.10205889415837718,895,6967,88448,533,0.07301786930776083,0.37324929971988796,0.08118294559235051,0.1,9685,957,1428,0.6701680672268907,0.09881259679917398,6.701196296794402
Without credit_risk_band,Base month 7,0.6603217865558372,0.9237735303532522,0.1985372403413006,0.8899724497040864,0.1138780804150454,0.6148459383753502,0.19216458743707596,0.10222951606141266,878,6832,88583,550,0.07160299743226956,0.3851540616246499,0.07961339487624298,0.1,9685,961,1428,0.6729691876750701,0.09922560660815695,6.729205476718308
Original champion,Variant II month 7,0.6579805761364765,0.8764792135643625,0.201198591827657,0.8896264922218075,0.08158563711471242,0.719187675070028,0.14654680365296804,0.1442612755585067,1027,11561,83853,401,0.12116670509568826,0.280812324929972,0.12998492389665642,0.1,9685,949,1428,0.6645658263305322,0.09798657718120805,6.645109318895344
Without credit_risk_band,Variant II month 7,0.6603217865558372,0.880320522087524,0.20058003767353555,0.8897848834966523,0.08297767564018385,0.707983193277311,0.14854540111666176,0.1417483432187517,1011,11173,84241,417,0.11710021590123043,0.2920168067226891,0.12581318023171764,0.1,9685,938,1428,0.6568627450980392,0.09685080020650491,6.568084869466631
