group,count,fraud_count,fraud_prevalence,selection_rate,true_positive_rate,false_positive_rate,false_negative_rate,precision,pr_auc,average_predicted_score,brier_score,true_positives,false_positives,true_negatives,false_negatives,stability_flag
BA,19182,899,0.04686685434261287,0.29100198102387653,0.7775305895439377,0.2670787069955697,0.22246941045606228,0.12522393407380866,0.2529437854316893,0.46511515631257755,0.2660022068581274,699,4883,13400,200,Adequate for primary interpretation
BB,23213,166,0.007151165295308663,0.03006935768750269,0.41566265060240964,0.027292055365123444,0.5843373493975904,0.0988538681948424,0.11638555149666864,0.17347076773072906,0.062387473585844656,69,629,22418,97,Adequate for primary interpretation
BC,37502,266,0.007092955042397739,0.03053170497573463,0.36466165413533835,0.028144806101622087,0.6353383458646616,0.08471615720524017,0.10897683934491409,0.1737624165604347,0.06299345286982092,97,1048,36188,169,Adequate for primary interpretation
BD,4478,42,0.009379187137114784,0.06319785618579724,0.5238095238095238,0.058836789900811544,0.47619047619047616,0.07773851590106007,0.11956851866712005,0.2354710971868703,0.0984246494110819,22,261,4175,20,Adequate for primary interpretation
BE,12327,54,0.004380627889997567,0.012249533544252454,0.12962962962962962,0.011733072598386702,0.8703703703703703,0.046357615894039736,0.04247664495508872,0.13987755550291975,0.04247373434058077,7,144,12129,47,Adequate for primary interpretation
BF,135,1,0.007407407407407408,0.022222222222222223,1.0,0.014925373134328358,0.0,0.3333333333333333,1.0,0.15562124982296666,0.04635022981530519,1,2,132,0,Interpret cautiously
BG,6,0,0.0,0.0,,0.0,,,,0.09219447032886637,0.012946141775760997,0,0,6,0,Interpret cautiously
