group,count,fraud_count,fraud_prevalence,selection_rate,true_positive_rate,false_positive_rate,false_negative_rate,precision,pr_auc,average_predicted_score,brier_score,true_positives,false_positives,true_negatives,false_negatives,stability_flag
Higher income band,64414,1158,0.01797745831651504,0.10202750954761387,0.6545768566493955,0.09191222966991273,0.3454231433506045,0.11533779671332928,0.2063781849003377,0.26099215933640674,0.12169890486081697,758,5814,57442,400,Adequate for primary interpretation
Lower income band,20645,149,0.007217243884717849,0.03172681036570598,0.48322147651006714,0.02844457455113193,0.5167785234899329,0.1099236641221374,0.15032547838558935,0.15456159813870912,0.05503248930119349,72,583,19913,77,Adequate for primary interpretation
Middle income band,11784,121,0.01026816021724372,0.05388662593346911,0.5371900826446281,0.04887250278659007,0.4628099173553719,0.10236220472440945,0.19688982206052535,0.19202758791048172,0.0770901635821383,65,570,11093,56,Adequate for primary interpretation
