attribute,demographic_parity_difference,disparate_impact_ratio,equal_opportunity_difference,false_positive_rate_difference,equalized_odds_difference,fraud_prevalence_difference,pr_auc_difference,brier_score_difference
age_group,0.3341202278704888,0.0811693733561558,0.5131360946745562,0.2968245903270278,0.5131360946745562,0.07086659426658591,0.4365875941777018,0.2645538551754222
income_group,0.0703006991819079,0.3109632931978979,0.17135538013932833,0.0634676551187808,0.17135538013932833,0.010760214431797192,0.05605270651474836,0.06666641555962348
employment_status,0.19908641423468568,0.02606754159489621,0.7619047619047619,0.17759362614301807,0.7619047619047619,0.049591225160745975,0.31531813344518106,0.1767076471046294
housing_status,0.29100198102387653,0.0,0.8703703703703703,0.2670787069955697,0.8703703703703703,0.04686685434261287,0.9575233550449113,0.25305606508236644
