model_version,attribute,demographic_parity_difference,disparate_impact_ratio,equal_opportunity_difference,false_positive_rate_difference,equalized_odds_difference,fraud_prevalence_difference,pr_auc_difference,brier_score_difference
Original champion,age_group,0.3324197429503215,0.09598045514729633,0.5679012345679013,0.31124555899241263,0.5679012345679013,0.03820822557833182,0.20270937414213036,0.24187585737560618
Original champion,income_group,0.08467450488699624,0.3222344855908983,0.22166596104995762,0.07865401189679186,0.22166596104995762,0.008742239809137785,0.0824930514454935,0.0755805485011936
Reweighted candidate,age_group,0.18014361808149565,0.02428833547778023,0.7299465240641712,0.16688379259223873,0.7299465240641712,0.03820822557833182,0.21125823144129935,0.05987470445301177
Reweighted candidate,income_group,0.10724810244093276,0.18535851297040556,0.30473116003386963,0.10099124862448153,0.30473116003386963,0.008742239809137785,0.06770911892742325,0.04734073752356467
